date,open,high,low,close,volume,barCount,WAP
2024-05-06,9.17,9.33,9.14,9.28,2673448.0,9389,
2024-05-07,9.16,9.19,8.62,8.63,3253281.0,11510,
2024-05-08,8.6,8.8,8.48,8.78,2832086.0,10533,
2024-05-09,9.05,9.47,8.63,9.2,4908078.0,18148,
2024-05-10,9.21,9.31,8.61,8.71,2879664.0,9728,
2024-05-13,8.79,9.24,8.67,8.77,3807043.0,14234,
2024-05-14,8.96,9.42,8.96,9.22,4971916.0,18073,
2024-05-15,9.46,9.56,8.88,9.0,3450758.0,11400,
2024-05-16,8.97,9.02,8.7,8.71,2321387.0,8146,
2024-05-17,8.81,8.91,8.65,8.78,2115666.0,6803,
2024-05-20,8.81,9.01,8.72,8.88,3094132.0,9892,
2024-05-21,8.84,8.86,8.36,8.48,3777508.0,11236,
2024-05-22,8.49,8.86,8.46,8.6,2403477.0,8135,
2024-05-23,8.69,8.74,8.27,8.32,2904675.0,10984,
2024-05-24,8.44,8.56,8.37,8.43,1959240.0,7410,
2024-05-28,8.42,8.48,8.18,8.28,2609651.0,9118,
2024-05-29,8.1,8.22,8.03,8.14,2167574.0,8336,
2024-05-30,8.25,8.47,8.17,8.4,2472602.0,10108,
2024-05-31,8.51,8.62,8.09,8.15,1975305.0,7764,
2024-06-03,8.29,8.32,7.77,7.78,3138150.0,11348,
2024-06-04,7.78,7.91,7.67,7.71,2493893.0,9384,
2024-06-05,7.88,7.97,7.7,7.93,2289764.0,8486,
2024-06-06,7.86,7.87,7.7,7.83,1868149.0,7439,
2024-06-07,7.71,8.12,7.67,7.86,2714998.0,10107,
2024-06-10,7.8,8.31,7.74,8.22,2886817.0,10127,
2024-06-11,8.08,8.13,7.81,7.87,2263951.0,8858,
2024-06-12,8.16,8.37,7.93,7.95,2821922.0,12837,
2024-06-13,8.0,8.13,7.59,7.71,3190995.0,10169,
2024-06-14,7.59,7.77,7.55,7.7,2008772.0,6743,
2024-06-17,7.61,7.64,7.29,7.56,4397528.0,13717,
2024-06-18,7.33,7.41,7.18,7.21,3510303.0,10739,
2024-06-20,7.1,7.12,6.77,6.8,5958393.0,19955,
2024-06-21,6.75,6.81,6.33,6.76,6201988.0,18813,
2024-06-24,6.84,7.09,6.66,6.76,3500070.0,10791,
2024-06-25,6.83,6.84,6.58,6.59,2630179.0,9865,
2024-06-26,6.63,6.77,6.53,6.73,3437733.0,10864,
2024-06-27,6.8,7.15,6.66,7.1,3814348.0,12032,
2024-06-28,7.18,7.19,6.84,7.03,3851881.0,12986,
2024-07-01,7.07,7.12,6.79,6.84,2870318.0,10041,
2024-07-02,6.84,7.18,6.84,7.14,2603976.0,7967,
2024-07-03,7.14,7.32,7.06,7.17,1594939.0,5908,
2024-07-05,7.2,7.61,7.09,7.41,3338313.0,11150,
2024-07-08,7.52,7.8,7.49,7.67,3344316.0,10451,
2024-07-09,7.69,7.95,7.45,7.93,3097692.0,9920,
2024-07-10,7.93,8.46,7.76,8.45,5057246.0,15102,
2024-07-11,8.41,8.77,7.78,8.02,7768135.0,25248,
2024-07-12,8.17,8.45,8.0,8.45,4468996.0,14920,
